Costo,Presupuesto,Tiempo_invertido,Tipo,Momento,No_de_personas
1785.0,2000.0,90,1,2,3
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
345.0,400.0,60,1,1,2
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
687.0,700.0,60,1,2,3
160.0,200.0,15,2,2,3
1200.0,1000.0,60,1,1,5
378.0,500.0,45,1,2,3
220.0,300.0,10,2,2,3
250.0,300.0,15,2,1,3
825.0,900.0,60,1,2,3
95.0,100.0,60,1,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
30.0,50.0,10,2,1,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
300.0,400.0,120,4,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
300.0,400.0,120,4,2,1
100.0,200.0,10,0,1,1
459.0,500.0,15,2,1,3
1500.0,2000.0,60,1,2,3
523.0,600.0,60,1,1,3
769.0,800.0,60,1,2,3
500.0,600.0,30,4,1,5
100.0,200.0,20,0,1,1
647.0,700.0,60,1,2,2
300.0,400.0,120,4,2,1
100.0,200.0,20,0,1,1
647.0,700.0,60,1,2,2
100.0,200.0,20,0,1,1
100.0,200.0,20,0,1,1
100.0,200.0,20,0,1,1
607.0,700.0,60,1,2,2
345.0,400.0,120,1,1,1
561.0,600.0,90,1,2,3
350.0,400.0,15,2,2,2
1987.0,200.0,60,1,2,3
